;x.0;x.1;x.2;x.3;x.4;x.5;x.6;x.7;x.8;x.9;x.10;x.11;x.12;x.13;x.14;x.20;x.17;x.18;x.19;x.16;y
0;b;30,83;f;u;g;w;v;1.25;t;t;t;f;g;202.0;f;t;116,94256980957068;0,5787085579422866;202000.0;f;good
1;a;58,67;4.46;u;g;q;h;3.04;t;t;6;f;g;43.0;560;t;225,60625307204938;25,409645364400404;43000.0;f;good
2;a;24,5;0.5;u;g;q;h;1.5;t;f;f;f;g;280.0;824;t;92,08407670672422;2,3173371593153314;280000.0;f;good
3;b;27,83;1.54;u;g;w;v;3.75;t;t;5;t;g;100.0;3;t;104,16291777029285;8,04533772976642;100000.0;f;good
4;b;20,17;5.625;u;g;w;v;1.71;t;f;f;f;s;120.0;f;t;77,8703024439662;31,111460957322073;120000.0;f;good
5;b;32,08;4.0;u;g;m;v;2.5;t;f;f;t;g;360.0;f;t;119,98390173447135;23,941817770121094;360000.0;f;good
6;b;33,17;1.04;u;g;r;h;6.5;t;f;f;t;g;164.0;31285;t;124,96967169364886;3,789646828448663;164000.0;f;good
7;a;22,92;11.585;u;g;cc;v;0.04;t;f;f;f;g;80.0;1349;t;89,88295769840687;63,9982328921678;80000.0;?;good
8;b;54,42;0.5;y;p;k;h;3.96;t;f;f;f;g;180.0;314;t;207,17893766922535;2,3359460150977798;180000.0;?;good
9;b;42,5;4.915;y;p;w;v;3.165;t;f;f;t;g;52.0;1442;t;167,51788889152746;27,79226478514832;52000.0;f;good
10;b;22,08;0.83;u;g;c;h;2.165;b;f;f;t;g;128.0;f;f;84,33001344445209;4,418577802756041;128000.0;?;good
11;b;29,92;1.835;u;g;c;h;4.335;t;f;f;f;g;260.0;200;t;111,18935773730952;9,230494089007827;260000.0;?;good
12;a;38,25;6.0;u;g;k;v;t;t;f;f;t;g;f;f;t;144,84463478461262;35,101687163167654;f;f;good
13;b;48,08;6.04;u;g;k;v;0.04;a;f;f;f;g;f;2690;f;183,772559767657;34,30025724626518;f;?;good
14;a;45,83;10.5;u;g;q;v;5.0;t;t;7;t;g;f;f;t;174,93305594333833;58,65171979917443;f;f;good
15;b;36,67;4.415;y;p;k;v;0.25;t;t;10;t;g;320.0;f;t;139,4725821902511;25,20270241008399;320000.0;f;good
